@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureKNN numeric

@data

sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150922.1849,372,191,130,61,0,68.062827,31.937173,0,0.210262,0.493238,0.493465,128.840234,112.989718,156.909725,187.414233,-30.504508,0.821517,0.981226,-0.159709,-84.205078,-0.440864,-10197.07882,0.469388,23,0.246479,35,0.753521,107,0.530612,26,0.396552,0.469388,0.429907,0.669086,0.680628,0.457719,0.542281,0.319372,0.699851,0.680628,0.688834,0.669086,0.005,0.004,0.01,0,50232,916708,487195,?,?
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150922.1849,372,191,129,62,0,67.539267,32.460733,0,0.088095,0.492663,0.493039,128.690016,112.892015,156.909725,187.178639,-30.268914,0.821517,0.979993,-0.158476,-83.840842,-0.438957,-10152.970501,0.265306,13,0.183099,26,0.816901,116,0.734694,36,0.333333,0.265306,0.295455,0.641636,0.675393,0.593185,0.406815,0.324607,0.652889,0.675393,0.66247,0.641636,0.002,0.002,0,0.01,50232,916708,487195,?,?
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,3,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150922.1849,372,191,130,61,0,68.062827,31.937173,0,0.157129,0.493293,0.493528,128.854682,113.003938,156.909725,187.447509,-30.537784,0.821517,0.981401,-0.159884,-84.234286,-0.441017,-10200.615837,0.367347,18,0.211268,30,0.788732,112,0.632653,31,0.375,0.367347,0.371134,0.629779,0.680628,0.524549,0.475451,0.319372,0.678491,0.680628,0.679542,0.629779,0,0,0,0,50232,916708,487195,?,?
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,4,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150922.1849,371,192,124,68,0,64.583333,35.416667,0,0.148337,0.494989,0.49512,129.399983,113.558332,157.347383,189.305698,-31.958315,0.819518,0.985967,-0.16645,-85.792277,-0.446835,-10376.082136,0.44898,22,0.286713,41,0.713287,102,0.55102,27,0.349206,0.44898,0.392857,0.643642,0.645833,0.483567,0.516433,0.354167,0.678025,0.645833,0.658854,0.643642,0.001,0,0,0,50232,914335,489568,?,?
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,5,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150922.1849,372,191,133,58,0,69.633508,30.366492,0,0.305977,0.493067,0.493371,128.795677,112.968143,156.909725,187.366813,-30.457088,0.821517,0.980978,-0.159461,-84.127286,-0.440457,-10187.658292,0.632653,31,0.28169,40,0.71831,102,0.367347,18,0.43662,0.632653,0.516667,0.713926,0.696335,0.345372,0.654628,0.303665,0.74395,0.696335,0.711422,0.713926,0.001,0,0,0.01,50232,916708,487195,?,?
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,6,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150922.1849,371,192,124,68,0,64.583333,35.416667,0,0.148337,0.494543,0.49473,129.283362,113.468886,157.347383,189.09072,-31.743337,0.819518,0.984848,-0.16533,-85.529528,-0.445466,-10344.304144,0.44898,22,0.286713,41,0.713287,102,0.55102,27,0.349206,0.44898,0.392857,0.605537,0.645833,0.483567,0.516433,0.354167,0.678025,0.645833,0.658854,0.605537,0,0.001,0,0,50232,914335,489568,?,?
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,7,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150922.1849,371,192,136,56,0,70.833333,29.166667,0,0.288889,0.493802,0.493991,128.681022,112.559219,158.862597,188.683235,-29.820638,0.827409,0.982725,-0.155316,-84.580071,-0.440521,-10280.095036,0.54,27,0.232394,33,0.767606,109,0.46,23,0.45,0.54,0.490909,0.711197,0.708333,0.400728,0.599272,0.291667,0.727904,0.708333,0.716269,0.711197,0,0,0,0,50232,914335,489568,?,?
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,8,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150922.1849,372,191,128,63,0,67.015707,32.984293,0,0.241729,0.49352,0.494023,128.91398,113.117387,156.909725,187.68237,-30.772645,0.821517,0.98263,-0.161113,-84.200983,-0.440843,-10196.58291,0.571429,28,0.295775,42,0.704225,100,0.428571,21,0.4,0.571429,0.470588,0.710765,0.670157,0.394503,0.605497,0.329843,0.717044,0.670157,0.686092,0.710765,0.001,0,0,0,50232,916708,487195,?,?
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,9,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150922.1849,372,191,122,69,0,63.874346,36.125654,0,0.159663,0.493123,0.493372,128.810371,112.968248,156.909725,187.35913,-30.449405,0.821517,0.980938,-0.159421,-84.109061,-0.440362,-10185.45129,0.489796,24,0.309859,44,0.690141,98,0.510204,25,0.352941,0.489796,0.410256,0.70092,0.638743,0.458807,0.541193,0.361257,0.682892,0.638743,0.655126,0.70092,0.001,0,0,0,50232,916708,487195,?,?
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,10,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150922.1849,372,191,132,59,0,69.109948,30.890052,0,0.289873,0.493388,0.493638,128.879387,113.029111,156.909725,187.505539,-30.595814,0.821517,0.981704,-0.160188,-84.274181,-0.441226,-10205.447078,0.612245,30,0.28169,40,0.71831,102,0.387755,19,0.428571,0.612245,0.504202,0.688776,0.691099,0.360545,0.639455,0.308901,0.736662,0.691099,0.706023,0.688776,0.001,0,0,0,50232,916708,487195,?,?
